"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","spain","barcelona","2020-01-10",18674,"la Sagrada Família",41.4042,2.17306,"Apartment","Entire home/apt",8,3,6,"$60.00",1,1125,4,71.3846153846154,1856
"2","spain","barcelona","2020-01-10",23197,"el Besòs i el Maresme",41.41203,2.22114,"Apartment","Entire home/apt",6,3,5,"$210.00",3,30,30,NA,0
"3","spain","barcelona","2020-01-10",31958,"el Camp d'en Grassot i Gràcia Nova",41.4095,2.15938,"Apartment","Entire home/apt",4,1,1,"$52.00",1,27,11,63.2105263157895,1201
"4","spain","barcelona","2020-01-10",32471,"el Camp d'en Grassot i Gràcia Nova",41.40928,2.16112,"Apartment","Entire home/apt",5,3,3,"$58.00",1,27,25,69.6,348
"5","spain","barcelona","2020-01-10",32615,"les Corts",41.3872,2.14088,"Apartment","Private room",1,1,1,"$35.00",29,60,4,35,910
"6","spain","barcelona","2020-01-10",32711,"el Camp d'en Grassot i Gràcia Nova",41.40464,2.16954,"Apartment","Entire home/apt",6,2,3,"$140.00",2,365,23,92.8571428571429,650
"7","spain","barcelona","2020-01-10",34241,"el Barri Gòtic",41.37916,2.17535,"Apartment","Private room",2,1,1,"$100.00",5,730,30,NA,0
"8","spain","barcelona","2020-01-10",34981,"el Barri Gòtic",41.37859,2.1773,"Apartment","Entire home/apt",8,4,6,"$250.00",4,365,22,176.875,1415
"9","spain","barcelona","2020-01-10",35379,"l'Antiga Esquerra de l'Eixample",41.39036,2.15274,"Apartment","Private room",2,1,1,"$40.00",2,730,9,33,693
"10","spain","barcelona","2020-01-10",35390,"l'Antiga Esquerra de l'Eixample",41.39153,2.15125,"Apartment","Private room",1,1,1,"$30.00",2,730,6,19.7083333333333,473
"11","spain","barcelona","2020-01-10",35392,"l'Antiga Esquerra de l'Eixample",41.39082,2.15078,"Apartment","Private room",2,1,1,"$45.00",2,730,15,31.4,471
"12","spain","barcelona","2020-01-10",36763,"la Barceloneta",41.37906,2.19141,"Apartment","Private room",1,1,1,"$30.00",2,65,29,35,35
"13","spain","barcelona","2020-01-10",40983,"la Dreta de l'Eixample",41.3956,2.16761,"Loft","Entire home/apt",4,1,2,"$130.00",2,364,9,52.0476190476191,1093
"14","spain","barcelona","2020-01-10",46153,"Sant Pere, Santa Caterina i la Ribera",41.38776,2.17782,"Apartment","Entire home/apt",2,2,3,"$46.00",32,330,0,46,1380
"15","spain","barcelona","2020-01-10",49968,"el Camp d'en Grassot i Gràcia Nova",41.40631,2.16945,"Apartment","Entire home/apt",6,2,0,"$140.00",2,365,26,95.75,383
"16","spain","barcelona","2020-01-10",50066,"el Fort Pienc",41.39821,2.17966,"Apartment","Entire home/apt",9,3,7,"$180.00",2,365,13,124.352941176471,2114
"17","spain","barcelona","2020-01-10",58512,"el Camp de l'Arpa del Clot",41.41099,2.18119,"Apartment","Entire home/apt",6,3,4,"$125.00",5,90,14,81.25,1300
"18","spain","barcelona","2020-01-10",61444,"la Dreta de l'Eixample",41.38901,2.16552,"Apartment","Entire home/apt",6,2,4,"$105.00",2,90,23,105,735
"19","spain","barcelona","2020-01-10",67065,"l'Antiga Esquerra de l'Eixample",41.39161,2.15089,"Apartment","Entire home/apt",7,4,7,"$70.00",1,27,18,81.5,978
"20","spain","barcelona","2020-01-10",68547,"el Barri Gòtic",41.38072,2.17811,"Apartment","Private room",2,1,2,"$49.00",2,730,30,NA,0
"21","spain","barcelona","2020-01-10",70099,"el Raval",41.37828,2.1708,"Bed and breakfast","Private room",4,1,3,"$49.00",1,365,25,44,220
"22","spain","barcelona","2020-01-10",71520,"Vallcarca i els Penitents",41.41837,2.13419,"Apartment","Entire home/apt",8,3,5,"$250.00",7,28,28,250,500
"23","spain","barcelona","2020-01-10",71553,"el Fort Pienc",41.3974,2.17682,"Apartment","Entire home/apt",2,1,1,"$110.00",2,1125,30,NA,0
"24","spain","barcelona","2020-01-10",71736,"el Raval",41.38321,2.16656,"Apartment","Entire home/apt",5,4,5,"$60.00",32,730,30,NA,0
"25","spain","barcelona","2020-01-10",72436,"el Poblenou",41.39837,2.20623,"Serviced apartment","Entire home/apt",2,1,1,"$1,000.00",1,28,29,89,89
"26","spain","barcelona","2020-01-10",72793,"el Raval",41.38248,2.16415,"Apartment","Entire home/apt",2,1,2,"$50.00",32,1000,30,NA,0
"27","spain","barcelona","2020-01-10",73455,"el Raval",41.38422,2.16701,"Apartment","Entire home/apt",5,2,4,"$75.00",2,365,14,111.5625,1785
"28","spain","barcelona","2020-01-10",73683,"el Camp d'en Grassot i Gràcia Nova",41.40506,2.17081,"Apartment","Entire home/apt",12,4,14,"$300.00",2,30,23,184.714285714286,1293
"29","spain","barcelona","2020-01-10",73692,"la Dreta de l'Eixample",41.39108,2.16521,"Apartment","Entire home/apt",5,2,3,"$105.00",2,90,25,105,525
"30","spain","barcelona","2020-01-10",73693,"el Poble Sec",41.37163,2.16591,"Apartment","Entire home/apt",5,2,2,"$65.00",2,90,30,NA,0
"31","spain","barcelona","2020-01-10",73700,"el Poble Sec",41.37335,2.16165,"Apartment","Entire home/apt",4,2,2,"$65.00",2,90,30,NA,0
"32","spain","barcelona","2020-01-10",74562,"el Raval",41.38255,2.16836,"Apartment","Private room",2,1,1,"$60.00",3,30,29,50,50
"33","spain","barcelona","2020-01-10",75003,"la Sagrada Família",41.40445,2.17765,"Apartment","Entire home/apt",5,2,3,"$94.00",2,365,17,134.846153846154,1753
"34","spain","barcelona","2020-01-10",75411,"el Clot",41.40825,2.18729,"Apartment","Entire home/apt",6,3,6,"$125.00",3,30,30,NA,0
"35","spain","barcelona","2020-01-10",80004,"el Poble Sec",41.37188,2.16656,"Apartment","Entire home/apt",5,3,3,"$107.00",4,730,25,150,750
"36","spain","barcelona","2020-01-10",83283,"Sant Antoni",41.38227,2.16141,"Apartment","Private room",2,1,1,"$40.00",3,365,0,40.3,1209
"37","spain","barcelona","2020-01-10",89756,"el Raval",41.37815,2.16894,"Apartment","Entire home/apt",9,3,7,"$350.00",6,1000,2,241.785714285714,6770
"38","spain","barcelona","2020-01-10",89776,"el Fort Pienc",41.39377,2.1795,"Apartment","Entire home/apt",4,1,2,"$65.00",3,365,6,81.0833333333333,1946
"39","spain","barcelona","2020-01-10",95719,"Sant Pere, Santa Caterina i la Ribera",41.3839,2.18011,"Apartment","Private room",2,1,0,"$53.00",2,365,24,60,360
"40","spain","barcelona","2020-01-10",97529,"el Camp d'en Grassot i Gràcia Nova",41.40906,2.16539,"Condominium","Entire home/apt",2,1,1,"$40.00",60,180,0,40,1200
"41","spain","barcelona","2020-01-10",100256,"la Barceloneta",41.37983,2.19249,"Apartment","Entire home/apt",3,1,1,"$60.00",32,365,0,60,1800
"42","spain","barcelona","2020-01-10",104485,"l'Antiga Esquerra de l'Eixample",41.39119,2.15641,"Apartment","Private room",2,1,1,"$35.00",2,35,25,23.2,116
"43","spain","barcelona","2020-01-10",107437,"Vallvidrera, el Tibidabo i les Planes",41.42864,2.09159,"House","Entire home/apt",8,4,6,"$148.00",3,60,24,103,618
"44","spain","barcelona","2020-01-10",109462,"el Camp d'en Grassot i Gràcia Nova",41.40264,2.16717,"Apartment","Entire home/apt",4,1,2,"$89.00",2,365,28,89,178
"45","spain","barcelona","2020-01-10",110041,"el Camp d'en Grassot i Gràcia Nova",41.40244,2.16564,"Apartment","Entire home/apt",4,1,2,"$84.00",2,365,17,121.461538461538,1579
"46","spain","barcelona","2020-01-10",110098,"el Barri Gòtic",41.3805,2.17932,"Apartment","Entire home/apt",4,1,3,"$135.00",2,365,17,135,1755
"47","spain","barcelona","2020-01-10",112538,"la Sagrada Família",41.40549,2.17368,"Apartment","Entire home/apt",6,3,5,"$200.00",4,1125,28,186,372
"48","spain","barcelona","2020-01-10",117010,"la Sagrada Família",41.40745,2.17401,"Serviced apartment","Entire home/apt",8,3,6,"$220.00",2,28,26,164,656
"49","spain","barcelona","2020-01-10",118228,"la Sagrada Família",41.40593,2.17575,"Serviced apartment","Entire home/apt",6,3,6,"$230.00",2,28,29,186,186
"50","spain","barcelona","2020-01-10",119546,"el Raval",41.37969,2.16532,"Apartment","Private room",2,1,1,"$60.00",3,7,30,NA,0
"51","spain","barcelona","2020-01-10",128463,"Sants",41.37242,2.13637,"Apartment","Private room",2,1,1,"$45.00",3,1125,14,40.8125,653
"52","spain","barcelona","2020-01-10",130227,"Diagonal Mar i el Front Marítim del Poblenou",41.40646,2.21282,"Condominium","Private room",2,1,1,"$50.00",2,10,23,60,420
"53","spain","barcelona","2020-01-10",135513,"el Poblenou",41.39841,2.20613,"Apartment","Entire home/apt",5,2,3,"$80.00",2,365,30,NA,0
"54","spain","barcelona","2020-01-10",136670,"Pedralbes",41.38846,2.12351,"Apartment","Private room",2,1,1,"$35.00",30,1125,14,35,560
"55","spain","barcelona","2020-01-10",138055,"la Sagrada Família",41.40764,2.17573,"Serviced apartment","Entire home/apt",6,3,4,"$250.00",3,28,29,186,186
"56","spain","barcelona","2020-01-10",142121,"el Barri Gòtic",41.38169,2.17553,"Loft","Entire home/apt",3,2,2,"$44.00",31,99,1,38.3793103448276,1113
"57","spain","barcelona","2020-01-10",144471,"Sant Antoni",41.38226,2.15898,"Apartment","Private room",2,1,1,"$40.00",3,365,0,40.3,1209
"58","spain","barcelona","2020-01-10",147275,"el Guinardó",41.42318,2.17501,"Apartment","Private room",1,1,1,"$14.00",4,1125,3,14,378
"59","spain","barcelona","2020-01-10",153376,"Sant Pere, Santa Caterina i la Ribera",41.38792,2.17768,"Apartment","Private room",1,1,1,"$65.00",2,4,0,65,1950
"60","spain","barcelona","2020-01-10",154281,"el Raval",41.37799,2.17281,"Loft","Private room",2,1,1,"$50.00",3,30,22,49,392
"61","spain","barcelona","2020-01-10",154437,"l'Antiga Esquerra de l'Eixample",41.39106,2.1509,"Apartment","Private room",1,1,1,"$39.00",7,45,29,34,34
"62","spain","barcelona","2020-01-10",158238,"les Corts",41.38416,2.13636,"Apartment","Entire home/apt",8,4,5,"$180.00",2,365,29,187,187
