"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","belgium","brussels","2020-02-20",2352,"Molenbeek-Saint-Jean",50.85787,4.30809,"Apartment","Entire home/apt",5,2,2,"$93.00",2,365,21,84.7777777777778,763
"2","belgium","brussels","2020-02-20",2354,"Molenbeek-Saint-Jean",50.85697,4.30651,"Apartment","Entire home/apt",4,1,1,"$78.00",2,365,19,72.4545454545455,797
"3","belgium","brussels","2020-02-20",42521,"Ixelles",50.81971,4.38696,"Townhouse","Private room",2,1,1,"$45.00",2,1125,5,41.76,1044
"4","belgium","brussels","2020-02-20",45145,"Saint-Josse-ten-Noode",50.853,4.36971,"Bed and breakfast","Hotel room",2,1,1,"$100.00",1,730,18,120,1440
"5","belgium","brussels","2020-02-20",48180,"Woluwe-Saint-Pierre",50.83821,4.40683,"Apartment","Entire home/apt",2,2,2,"$200.00",2,14,29,200,200
"6","belgium","brussels","2020-02-20",52796,"Ixelles",50.83356,4.36027,"Apartment","Entire home/apt",3,1,1,"$74.00",5,120,3,74,1998
"7","belgium","brussels","2020-02-20",71744,"Bruxelles",50.85427,4.34842,"Apartment","Entire home/apt",2,1,1,"$60.00",2,1125,3,60,1620
"8","belgium","brussels","2020-02-20",80257,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",3,0,2,"$95.00",1,365,28,80,160
"9","belgium","brussels","2020-02-20",80320,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",3,0,2,"$85.00",1,365,28,65,130
"10","belgium","brussels","2020-02-20",80373,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",3,0,2,"$85.00",1,365,28,70,140
"11","belgium","brussels","2020-02-20",88206,"Watermael-Boitsfort",50.80848,4.40284,"Apartment","Private room",2,1,1,"$60.00",2,30,0,60,1800
"12","belgium","brussels","2020-02-20",96293,"Anderlecht",50.84053,4.3363,"Serviced apartment","Entire home/apt",6,1,4,"$135.00",1,365,24,105,630
"13","belgium","brussels","2020-02-20",96642,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",3,0,2,"$70.00",1,365,20,60,600
"14","belgium","brussels","2020-02-20",96694,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",4,1,3,"$85.00",1,365,24,65,390
"15","belgium","brussels","2020-02-20",97740,"Schaerbeek",50.86986,4.37712,"Bed and breakfast","Hotel room",4,2,3,"$95.00",2,30,25,95,475
"16","belgium","brussels","2020-02-20",97768,"Uccle",50.80532,4.33227,"Townhouse","Private room",2,1,1,"$75.00",7,91,0,75,2250
"17","belgium","brussels","2020-02-20",106677,"Uccle",50.8064,4.33487,"House","Entire home/apt",2,1,1,"$85.00",3,365,0,85,2550
"18","belgium","brussels","2020-02-20",118707,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",3,0,2,"$95.00",1,365,28,87.5,175
"19","belgium","brussels","2020-02-20",130097,"Bruxelles",50.84582,4.34954,"Bed and breakfast","Hotel room",2,1,1,"$97.00",2,365,10,97.6,1952
"20","belgium","brussels","2020-02-20",134357,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",3,0,2,"$70.00",1,365,24,67.5,405
"21","belgium","brussels","2020-02-20",134361,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",4,1,3,"$80.00",1,365,27,65,195
"22","belgium","brussels","2020-02-20",134504,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",4,0,3,"$80.00",1,365,25,70,350
"23","belgium","brussels","2020-02-20",134581,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",7,1,6,"$120.00",1,365,18,101.25,1215
"24","belgium","brussels","2020-02-20",134687,"Uccle",50.81208,4.348,"Apartment","Entire home/apt",2,1,1,"$55.00",3,730,0,55,1650
"25","belgium","brussels","2020-02-20",137738,"Forest",50.81904,4.33602,"Apartment","Entire home/apt",3,2,2,"$72.00",7,150,0,90,2700
"26","belgium","brussels","2020-02-20",137971,"Bruxelles",50.84607,4.37444,"Apartment","Entire home/apt",5,3,4,"$165.00",1,730,23,146.285714285714,1024
"27","belgium","brussels","2020-02-20",148114,"Anderlecht",50.83992,4.33636,"Serviced apartment","Entire home/apt",4,0,3,"$95.00",1,365,26,75,300
"28","belgium","brussels","2020-02-20",148797,"Etterbeek",50.8304,4.38454,"Apartment","Entire home/apt",8,3,5,"$100.00",5,25,0,100,3000
"29","belgium","brussels","2020-02-20",159836,"Schaerbeek",50.87374,4.3813,"Loft","Entire home/apt",4,1,3,"$49.00",2,30,3,49,1323
"30","belgium","brussels","2020-02-20",166510,"Bruxelles",50.84603,4.37422,"Apartment","Entire home/apt",4,1,1,"$150.00",1,730,23,134.285714285714,940
"31","belgium","brussels","2020-02-20",179990,"Woluwe-Saint-Lambert",50.85161,4.41615,"House","Private room",1,1,1,"$30.00",1,28,0,28,840
"32","belgium","brussels","2020-02-20",196623,"Saint-Gilles",50.83896,4.33735,"Loft","Entire home/apt",2,1,0,"$75.00",1,730,13,75,1275
"33","belgium","brussels","2020-02-20",198943,"Ixelles",50.82583,4.36798,"Apartment","Entire home/apt",2,1,1,"$80.00",3,30,0,70.1333333333333,2104
"34","belgium","brussels","2020-02-20",200385,"Saint-Gilles",50.8264,4.34247,"Apartment","Entire home/apt",2,1,1,"$60.00",2,730,0,82.6666666666667,2480
"35","belgium","brussels","2020-02-20",227067,"Bruxelles",50.8791,4.35508,"Apartment","Entire home/apt",2,1,1,"$90.00",3,365,0,55,1650
"36","belgium","brussels","2020-02-20",232262,"Bruxelles",50.8494,4.35085,"Guest suite","Entire home/apt",6,2,4,"$150.00",1,365,15,152.333333333333,2285
"37","belgium","brussels","2020-02-20",232268,"Bruxelles",50.84763,4.35064,"Serviced apartment","Entire home/apt",6,2,4,"$149.00",1,35,20,165,1650
"38","belgium","brussels","2020-02-20",232354,"Bruxelles",50.8494,4.35245,"Serviced apartment","Entire home/apt",4,1,2,"$87.00",2,365,12,99.1666666666667,1785
"39","belgium","brussels","2020-02-20",233899,"Bruxelles",50.85059,4.35275,"Guest suite","Entire home/apt",6,2,4,"$149.00",2,40,8,162.727272727273,3580
"40","belgium","brussels","2020-02-20",233912,"Bruxelles",50.84913,4.3517,"Serviced apartment","Entire home/apt",6,2,4,"$150.00",2,365,6,161.666666666667,3880
"41","belgium","brussels","2020-02-20",233927,"Bruxelles",50.84929,4.351,"Serviced apartment","Entire home/apt",6,2,4,"$150.00",1,365,15,182,2730
"42","belgium","brussels","2020-02-20",233943,"Bruxelles",50.84957,4.3527,"Serviced apartment","Entire home/apt",6,2,4,"$160.00",2,365,11,169.473684210526,3220
"43","belgium","brussels","2020-02-20",234001,"Bruxelles",50.85008,4.34812,"Serviced apartment","Entire home/apt",6,2,4,"$130.00",1,35,13,136.470588235294,2320
"44","belgium","brussels","2020-02-20",234031,"Bruxelles",50.84883,4.35157,"Serviced apartment","Entire home/apt",6,2,4,"$150.00",2,120,8,163.181818181818,3590
"45","belgium","brussels","2020-02-20",268652,"Bruxelles",50.85252,4.34222,"Loft","Entire home/apt",3,1,2,"$80.00",1,28,2,79.8214285714286,2235
"46","belgium","brussels","2020-02-20",291209,"Saint-Gilles",50.83199,4.34213,"Loft","Entire home/apt",4,2,2,"$82.00",2,15,4,82,2132
"47","belgium","brussels","2020-02-20",293138,"Bruxelles",50.84603,4.37422,"Aparthotel","Private room",3,1,1,"$120.00",1,365,27,106.333333333333,319
"48","belgium","brussels","2020-02-20",293230,"Bruxelles",50.84603,4.37422,"Apartment","Entire home/apt",4,1,1,"$150.00",1,365,21,131.666666666667,1185
"49","belgium","brussels","2020-02-20",293280,"Bruxelles",50.84603,4.37422,"Aparthotel","Private room",3,1,1,"$125.00",1,365,30,NA,0
"50","belgium","brussels","2020-02-20",293281,"Bruxelles",50.84603,4.37422,"Aparthotel","Private room",2,1,1,"$115.00",1,365,29,65,65
"51","belgium","brussels","2020-02-20",302472,"Ixelles",50.8154,4.35152,"Loft","Entire home/apt",2,1,1,"$89.00",5,365,0,89,2670
"52","belgium","brussels","2020-02-20",308456,"Saint-Gilles",50.82992,4.34602,"House","Entire home/apt",2,1,1,"$30.00",2,60,0,23.4333333333333,703
"53","belgium","brussels","2020-02-20",308858,"Anderlecht",50.83938,4.33211,"Apartment","Entire home/apt",2,1,1,"$59.00",5,1125,0,48,1440
"54","belgium","brussels","2020-02-20",332388,"Saint-Gilles",50.82681,4.34228,"Apartment","Private room",3,1,1,"$40.00",3,1125,0,25,750
"55","belgium","brussels","2020-02-20",348575,"Bruxelles",50.84915,4.36475,"Apartment","Entire home/apt",3,1,2,"$90.00",90,1125,10,90,1800
"56","belgium","brussels","2020-02-20",348607,"Bruxelles",50.84853,4.36345,"Apartment","Entire home/apt",4,1,3,"$90.00",30,1000,7,90,2070
"57","belgium","brussels","2020-02-20",362046,"Bruxelles",50.84455,4.35252,"Apartment","Entire home/apt",2,1,1,"$105.00",3,30,0,105,3150
"58","belgium","brussels","2020-02-20",378953,"Woluwe-Saint-Lambert",50.86229,4.42704,"Villa","Private room",1,1,1,"$35.00",3,22,20,35,350
"59","belgium","brussels","2020-02-20",378955,"Woluwe-Saint-Lambert",50.86188,4.42755,"Apartment","Entire home/apt",2,1,2,"$75.00",4,365,0,75,2250
