"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","spain","barcelona","2020-06-13",21974,"el Barri Gòtic",41.38077,2.17551,"Apartment","Private room",2,1,1,"$80.00",3,90,16,70,980
"2","spain","barcelona","2020-06-13",23197,"el Besòs i el Maresme",41.41291,2.22063,"Apartment","Entire home/apt",6,3,5,"$220.00",3,30,30,NA,0
"3","spain","barcelona","2020-06-13",34241,"el Barri Gòtic",41.37916,2.17535,"Apartment","Private room",2,1,1,"$100.00",5,120,30,NA,0
"4","spain","barcelona","2020-06-13",34981,"el Barri Gòtic",41.37978,2.17623,"Apartment","Entire home/apt",9,4,6,"$227.00",4,365,30,NA,0
"5","spain","barcelona","2020-06-13",35379,"l'Antiga Esquerra de l'Eixample",41.39036,2.15274,"Apartment","Private room",2,1,1,"$40.00",7,30,26,23,92
"6","spain","barcelona","2020-06-13",35388,"l'Antiga Esquerra de l'Eixample",41.39065,2.15196,"Apartment","Private room",1,1,1,"$30.00",2,730,14,19.4375,311
"7","spain","barcelona","2020-06-13",35390,"l'Antiga Esquerra de l'Eixample",41.39153,2.15125,"Apartment","Private room",1,1,1,"$30.00",2,730,21,13.6666666666667,123
"8","spain","barcelona","2020-06-13",35392,"l'Antiga Esquerra de l'Eixample",41.39082,2.15078,"Apartment","Private room",2,1,1,"$45.00",2,730,17,23.4615384615385,305
"9","spain","barcelona","2020-06-13",36763,"la Barceloneta",41.37906,2.19141,"Apartment","Private room",1,1,1,"$33.00",2,65,29,33,33
"10","spain","barcelona","2020-06-13",40983,"la Dreta de l'Eixample",41.39631,2.16832,"Loft","Entire home/apt",4,1,2,"$130.00",2,364,30,NA,0
"11","spain","barcelona","2020-06-13",41952,"el Camp d'en Grassot i Gràcia Nova",41.40565,2.16932,"Apartment","Entire home/apt",6,2,4,"$110.00",3,365,30,NA,0
"12","spain","barcelona","2020-06-13",46153,"Sant Pere, Santa Caterina i la Ribera",41.38776,2.17782,"Apartment","Entire home/apt",2,2,3,"$33.00",32,352,28,32,64
"13","spain","barcelona","2020-06-13",49968,"el Camp d'en Grassot i Gràcia Nova",41.4057,2.17016,"Apartment","Entire home/apt",6,2,0,"$140.00",2,365,28,136.5,273
"14","spain","barcelona","2020-06-13",58512,"el Camp de l'Arpa del Clot",41.41129,2.18193,"Apartment","Entire home/apt",6,3,4,"$95.00",2,90,17,75,975
"15","spain","barcelona","2020-06-13",61444,"la Dreta de l'Eixample",41.38901,2.16552,"Apartment","Entire home/apt",6,2,4,"$105.00",2,90,30,NA,0
"16","spain","barcelona","2020-06-13",67065,"l'Antiga Esquerra de l'Eixample",41.39161,2.15089,"Apartment","Entire home/apt",7,4,7,"$65.00",1,27,29,309,309
"17","spain","barcelona","2020-06-13",68547,"el Barri Gòtic",41.38072,2.17811,"Apartment","Private room",2,1,2,"$49.00",2,730,30,NA,0
"18","spain","barcelona","2020-06-13",70099,"el Raval",41.37828,2.1708,"Bed and breakfast","Private room",4,1,3,"$49.00",1,365,30,NA,0
"19","spain","barcelona","2020-06-13",70333,"Diagonal Mar i el Front Marítim del Poblenou",41.40905,2.21243,"Condominium","Entire home/apt",4,1,1,"$90.00",32,1125,29,90,90
"20","spain","barcelona","2020-06-13",71520,"Vallcarca i els Penitents",41.41837,2.13419,"Apartment","Entire home/apt",9,3,5,"$250.00",5,28,28,150,300
"21","spain","barcelona","2020-06-13",71553,"el Fort Pienc",41.3974,2.17682,"Apartment","Entire home/apt",2,1,1,"$89.00",2,1125,25,150,750
"22","spain","barcelona","2020-06-13",71736,"el Raval",41.38321,2.16656,"Apartment","Entire home/apt",5,4,5,"$60.00",32,730,30,NA,0
"23","spain","barcelona","2020-06-13",72436,"el Poblenou",41.39909,2.20733,"Serviced apartment","Entire home/apt",2,1,1,"$1,000.00",1,28,30,NA,0
"24","spain","barcelona","2020-06-13",72793,"el Raval",41.38248,2.16415,"Apartment","Entire home/apt",2,1,2,"$50.00",32,1000,30,NA,0
"25","spain","barcelona","2020-06-13",72794,"el Raval",41.38294,2.16534,"Apartment","Entire home/apt",2,2,2,"$50.00",32,3000,30,NA,0
"26","spain","barcelona","2020-06-13",73455,"el Raval",41.38422,2.16701,"Apartment","Entire home/apt",5,2,4,"$90.00",2,365,30,NA,0
"27","spain","barcelona","2020-06-13",73692,"la Dreta de l'Eixample",41.39108,2.16521,"Apartment","Entire home/apt",5,2,3,"$105.00",2,90,30,NA,0
"28","spain","barcelona","2020-06-13",73693,"el Poble Sec",41.37163,2.16591,"Apartment","Entire home/apt",5,2,2,"$65.00",2,90,30,NA,0
"29","spain","barcelona","2020-06-13",73700,"el Poble Sec",41.37335,2.16165,"Apartment","Entire home/apt",4,2,2,"$65.00",2,90,30,NA,0
"30","spain","barcelona","2020-06-13",74562,"el Raval",41.38255,2.16836,"Apartment","Private room",2,1,1,"$60.00",3,30,0,61.3333333333333,1840
"31","spain","barcelona","2020-06-13",75003,"la Sagrada Família",41.40399,2.17802,"Apartment","Entire home/apt",5,2,3,"$89.00",2,365,30,NA,0
"32","spain","barcelona","2020-06-13",75411,"el Clot",41.40825,2.18729,"Apartment","Entire home/apt",6,3,6,"$125.00",3,30,23,147.857142857143,1035
"33","spain","barcelona","2020-06-13",80004,"el Poble Sec",41.37188,2.16656,"Apartment","Entire home/apt",5,3,2,"$107.00",1,1125,30,NA,0
"34","spain","barcelona","2020-06-13",83283,"Sant Antoni",41.38227,2.16141,"Apartment","Private room",2,1,0,"$40.00",3,365,30,NA,0
"35","spain","barcelona","2020-06-13",89756,"el Raval",41.37815,2.16894,"Apartment","Entire home/apt",9,3,8,"$365.00",6,1000,25,240,1200
"36","spain","barcelona","2020-06-13",89776,"el Fort Pienc",41.39377,2.1795,"Apartment","Entire home/apt",4,1,2,"$65.00",3,365,28,115,230
"37","spain","barcelona","2020-06-13",95719,"Sant Pere, Santa Caterina i la Ribera",41.3839,2.18011,"Apartment","Private room",2,1,0,"$53.00",2,365,30,NA,0
"38","spain","barcelona","2020-06-13",97529,"el Camp d'en Grassot i Gràcia Nova",41.40906,2.16539,"Condominium","Entire home/apt",2,1,1,"$34.00",60,1125,29,40,40
